         1155632 function calls (1090830 primitive calls) in 1.682 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       99    0.015    0.000    0.081    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\analysis.py:23(compute_use_defs)
      425    0.002    0.000    0.080    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\values.py:806(<listcomp>)
       19    0.002    0.000    0.080    0.004 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:652(_optimize_functions)
     7128    0.014    0.000    0.073    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\event.py:193(broadcast)
       90    0.000    0.000    0.072    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\postproc.py:41(usedefs)
     2999    0.009    0.000    0.072    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\values.py:219(_to_string)
   232684    0.051    0.000    0.069    0.000 {built-in method builtins.isinstance}
     3310    0.006    0.000    0.068    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\binding\ffi.py:73(__exit__)
     3564    0.010    0.000    0.063    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\event.py:388(end_event)
        9    0.000    0.000    0.063    0.007 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\untyped_passes.py:79(run_pass)
        9    0.001    0.000    0.063    0.007 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\interpreter.py:336(interpret)
     3310    0.004    0.000    0.062    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\base.py:1253(exit_fn)
        1    0.000    0.000    0.060    0.060 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\typed\listobject.py:1504(getiter_list)
        1    0.000    0.000    0.060    0.060 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\typed\listobject.py:1448(from_list)
       18    0.003    0.000    0.060    0.003 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\rewrites\registry.py:54(apply)
        1    0.000    0.000    0.059    0.059 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\typed\listobject.py:1458(_size_of_list)
    16012    0.019    0.000    0.057    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\event.py:227(notify)
     3310    0.005    0.000    0.056    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\binding\ffi.py:67(__enter__)
        9    0.000    0.000    0.053    0.006 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typed_passes.py:221(run_pass)
       79    0.001    0.000    0.052    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\binding\module.py:11(parse_assembly)
     3564    0.009    0.000    0.049    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\event.py:374(start_event)
8229/7513    0.005    0.000    0.049    0.000 {built-in method builtins.next}
     3310    0.003    0.000    0.048    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\base.py:1250(enter_fn)
     3338    0.003    0.000    0.046    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\ir.py:594(list_vars)
        9    0.000    0.000    0.042    0.005 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\untyped_passes.py:192(run_pass)
        9    0.000    0.000    0.042    0.005 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\untyped_passes.py:1506(run_pass)
     2819    0.010    0.000    0.039    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\instructions.py:13(__init__)
     4123    0.007    0.000    0.037    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\values.py:212(__init__)
2750/2392    0.003    0.000    0.036    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\contextlib.py:108(__enter__)
      144    0.001    0.000    0.036    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\npydecl.py:201(generic)
      757    0.002    0.000    0.035    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\binding\module.py:213(__next__)
      144    0.002    0.000    0.034    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\npydecl.py:97(generic)
       90    0.000    0.000    0.030    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\postproc.py:51(deadmaps)
     4201    0.007    0.000    0.029    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\values.py:232(_set_name)
        9    0.000    0.000    0.028    0.003 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\untyped_passes.py:228(run_pass)
        3    0.000    0.000    0.028    0.009 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\cpython\listobj.py:342(resize)
        9    0.000    0.000    0.028    0.003 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\ssa.py:26(reconstruct_ssa)
        9    0.000    0.000    0.028    0.003 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\ssa.py:47(_run_ssa)
      253    0.001    0.000    0.027    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\context.py:391(resolve_value_type)
      240    0.001    0.000    0.026    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\base.py:45(find)
       36    0.000    0.000    0.026    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\postproc.py:157(_insert_var_dels)
      133    0.001    0.000    0.026    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\templates.py:272(_select)
       36    0.007    0.000    0.026    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\postproc.py:177(_patch_var_dels)
      119    0.000    0.000    0.026    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\templates.py:472(apply)
      133    0.004    0.000    0.025    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\context.py:609(resolve_overload)
28777/28680    0.013    0.000    0.025    0.000 {built-in method builtins.getattr}
        9    0.001    0.000    0.025    0.003 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\inline_closurecall.py:68(run)
       42    0.000    0.000    0.024    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\base.py:1104(get_abi_sizeof)
      107    0.000    0.000    0.024    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\base.py:52(_find)
  764/671    0.001    0.000    0.024    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\ir_utils.py:1515(guard)
