         1285522 function calls (1208653 primitive calls) in 1.802 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      298    0.008    0.000    0.127    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\analysis.py:235(compute_cfg_from_blocks)
     9163    0.007    0.000    0.126    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\ir.py:346(list_vars)
    50/27    0.000    0.000    0.125    0.005 <frozen importlib._bootstrap_external>:837(exec_module)
       11    0.000    0.000    0.115    0.010 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:199(add_ir_module)
      309    0.003    0.000    0.112    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\controlflow.py:114(process)
       88    0.001    0.000    0.112    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:1044(lower_expr)
        5    0.000    0.000    0.112    0.022 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:264(_finalize_final_module)
       73    0.001    0.000    0.107    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\module.py:233(__repr__)
       73    0.000    0.000    0.105    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\module.py:207(_get_body_lines)
       73    0.001    0.000    0.105    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\module.py:212(<listcomp>)
    56/27    0.001    0.000    0.104    0.004 {built-in method builtins.exec}
       11    0.000    0.000    0.103    0.009 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typed_passes.py:205(run_pass)
        5    0.000    0.000    0.099    0.020 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:513(_finalize_specific)
       16    0.000    0.000    0.097    0.006 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:575(wrapper)
        5    0.000    0.000    0.097    0.019 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\binding\executionengine.py:87(finalize_object)
       24    0.000    0.000    0.093    0.004 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\context.py:151(refresh)
7428/2792    0.010    0.000    0.092    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\_utils.py:44(__str__)
      178    0.001    0.000    0.091    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:1295(storevar)
        5    0.000    0.000    0.089    0.018 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:141(_optimize_final_module)
       13    0.000    0.000    0.086    0.007 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\base.py:266(refresh)
   310732    0.065    0.000    0.085    0.000 {built-in method builtins.isinstance}
     2220    0.007    0.000    0.083    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\values.py:219(_to_string)
       11    0.000    0.000    0.081    0.007 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\untyped_passes.py:79(run_pass)
       11    0.001    0.000    0.081    0.007 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\interpreter.py:94(interpret)
        5    0.000    0.000    0.080    0.016 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\binding\passmanagers.py:93(run)
      389    0.001    0.000    0.076    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:1271(_alloca_var)
